word,word_position,text_id,n_participants,RT,sdRT,gRT,gsdRT,word_clean,zipf_freq,log_unigram_freq,word_length,log_RT,log_gRT,corpus,primary_RT,log_primary_RT,row_uid,surprisal,hidden_row_idx,token_ids_str,n_tokens,start_token_idx,end_token_idx,hidden_token_idx,hidden_context_size,hidden_context_stride
'Do,766,4,89,326.5730337078652,120.64418831276782,308.97906266468976,1.3871829965819231,'do,6.35,-2.649751962277691,3,5.788653610403311,5.733273516235344,natural_stories,326.5730337078652,5.788653610403311,natural_stories:4:766,7.780689716339111,4955,"[705, 5211]",2,903,904,904,128,64
'Do,1005,5,97,313.6701030927835,85.26413881402657,302.30885621144284,1.3167518195231156,'do,6.35,-2.649751962277691,3,5.748341806519691,5.711449197457656,natural_stories,313.6701030927835,5.748341806519691,natural_stories:5:1005,4.284669399261475,7269,"[705, 5211]",2,1178,1179,1179,128,64
'Don't,414,6,83,328.86746987951807,103.80631249713156,314.04467845511255,1.3553088236911208,'don't,6.2,-2.8013428855585856,6,5.795654842494808,5.7495352638598725,natural_stories,328.86746987951807,5.795654842494808,natural_stories:6:414,7.415292263031006,1451,"[705, 3987, 470]",3,506,508,508,128,64
'Except,411,4,88,429.15909090909093,361.72387024802504,358.56620105970023,1.711339378109083,'except,5.02,-3.978810287316467,7,6.061827691463317,5.882113304246278,natural_stories,429.15909090909093,6.061827691463317,natural_stories:4:411,19.672103881835938,4600,"[705, 30313]",2,475,476,476,128,64
'Extraordinary,699,9,78,404.71794871794873,199.99499327732516,369.4218264827515,1.5160102156600053,'extraordinary,4.36,-4.6401626211817995,14,6.003190401572805,5.911939152329173,natural_stories,404.71794871794873,6.003190401572805,natural_stories:9:699,16.359106063842773,698,"[705, 27726, 35947]",3,892,894,894,128,64
'flying,166,8,74,409.6081081081081,224.6283882550697,365.60725649165136,1.5897909516229551,'flying,4.71,-4.289881788311072,7,6.015200868715187,5.901559687554935,natural_stories,409.6081081081081,6.015200868715187,natural_stories:8:166,10.773170471191406,2302,"[705, 45928]",2,205,206,206,128,64
'flying,209,8,73,363.013698630137,193.33272220813504,328.9322301328581,1.5253915509598237,'flying,4.71,-4.289881788311072,7,5.894440570825923,5.795851742108924,natural_stories,363.013698630137,5.894440570825923,natural_stories:8:209,5.829484939575195,2345,"[705, 45928]",2,259,260,260,128,64
'fog'.,277,2,91,409.4725274725275,319.5577617986507,350.4911693535814,1.6450747679668152,'fog',3.9,-5.100174027903545,5,6.0148698130634495,5.859335511730959,natural_stories,409.4725274725275,6.0148698130634495,natural_stories:2:277,22.1567440032959,5551,"[705, 69, 519, 4458]",4,320,323,323,128,64
'For,597,6,81,328.28395061728395,103.85329009808756,313.13832166814746,1.3610766770093377,'for,7.01,-1.9913998239802937,4,5.793878936980813,5.746645015183721,natural_stories,328.28395061728395,5.793878936980813,natural_stories:6:597,10.53911018371582,1634,"[705, 1890]",2,722,723,723,128,64
'General,348,9,77,354.57142857142856,96.4969904863998,341.57067890425947,1.321271747641526,'general,5.47,-3.530177836803394,8,5.870909816709239,5.833554623641011,natural_stories,354.57142857142856,5.870909816709239,natural_stories:9:348,3.860936164855957,347,"[705, 12218]",2,458,459,459,128,64
'General',318,9,77,412.9740259740259,152.7857955324152,389.0718298972,1.4130832990479607,'general',5.47,-3.530177836803394,9,6.023384699879251,5.963763979264267,natural_stories,412.9740259740259,6.023384699879251,natural_stories:9:318,16.930362701416016,317,"[705, 12218, 6]",3,419,421,421,128,64
'Good,1059,6,81,358.9259259259259,277.0861227929765,314.2013979773073,1.5766586514873504,'good,6.12,-2.8794260358930543,5,5.8831160327302205,5.750034175134688,natural_stories,358.9259259259259,5.8831160327302205,natural_stories:6:1059,8.46809196472168,2096,"[705, 10248]",2,1306,1307,1307,128,64
"'Grandmother,'",812,3,90,444.81111111111113,196.87644528134064,407.265395333287,1.523502662711122,"'grandmother,'",4.14,-4.8601177665487025,14,6.097649722640364,6.009465049918737,natural_stories,444.81111111111113,6.097649722640364,natural_stories:3:812,17.839006423950195,8089,"[705, 23581, 13552, 4032]",4,950,953,953,128,64
'Haven't,147,7,77,381.961038961039,160.6356978054152,354.079539495066,1.4745427122491557,'haven't,5.11,-3.889409953038492,8,5.945318611156423,5.869521575734412,natural_stories,381.961038961039,5.945318611156423,natural_stories:7:147,16.52176856994629,8464,"[705, 39, 4005, 470]",4,169,172,172,128,64
'He'll,572,6,82,331.390243902439,122.32478081896949,312.475143292775,1.4011715550498147,'he'll,4.54,-4.4596692736418175,6,5.803296665520016,5.744524924549746,natural_stories,331.390243902439,5.803296665520016,natural_stories:6:572,12.95583724975586,1609,"[705, 1544, 1183]",3,688,690,690,128,64
'He's,14,6,84,384.8333333333333,227.1264089058998,346.070003052515,1.5472190476380805,'he's,5.6,-3.40011681880711,5,5.95281034012644,5.846641075554625,natural_stories,384.8333333333333,5.95281034012644,natural_stories:6:14,18.31056785583496,1051,"[705, 1544, 338]",3,17,19,19,128,64
'hoover'.,391,6,82,464.1951219512195,279.04747323993087,400.60305749479033,1.6997069310754966,'hoover',3.56,-5.440081411093364,8,6.140304985278486,5.992971055491135,natural_stories,464.1951219512195,6.140304985278486,natural_stories:6:391,25.89325523376465,1428,"[705, 71, 2238, 332, 4458]",5,469,473,473,128,64
'How,545,7,74,317.36486486486484,90.12709052910652,305.0816003332219,1.3288066105754055,'how,6.24,-2.759450726757948,4,5.760052105256926,5.72057928290055,natural_stories,317.36486486486484,5.760052105256926,natural_stories:7:545,9.90673828125,8862,"[705, 2437]",2,635,636,636,128,64
'How,778,1,84,338.48809523809524,152.59131131982608,312.897979310423,1.4662943718273478,'how,6.24,-2.759450726757948,4,5.824488922570203,5.745877192713501,natural_stories,338.48809523809524,5.824488922570203,natural_stories:1:778,7.587819576263428,3894,"[705, 2437]",2,931,932,932,128,64
'I,239,7,76,364.1578947368421,264.60562113613935,325.25839549860194,1.522593223550755,'i,7.09,-1.9100948850297528,2,5.8975875503323705,5.784619929507141,natural_stories,364.1578947368421,5.8975875503323705,natural_stories:7:239,2.5348472595214844,8556,"[705, 40]",2,281,282,282,128,64
'I,489,4,88,324.53409090909093,106.22422054949598,308.32033923205114,1.3810322232125285,'i,7.09,-1.9100948850297528,2,5.782390587356708,5.731139304925088,natural_stories,324.53409090909093,5.782390587356708,natural_stories:4:489,3.7989001274108887,4678,"[705, 40]",2,572,573,573,128,64
'I,495,5,93,326.2258064516129,159.869996711476,303.9599282233636,1.4207557143549163,'i,7.09,-1.9100948850297528,2,5.787589799417025,5.716895877663129,natural_stories,326.2258064516129,5.787589799417025,natural_stories:5:495,10.181073188781738,6759,"[705, 40]",2,578,579,579,128,64
'I,734,4,89,347.1011235955056,109.9550574453676,330.61431898969073,1.370353550876492,'i,7.09,-1.9100948850297528,2,5.849616159957015,5.800952496577507,natural_stories,347.1011235955056,5.849616159957015,natural_stories:4:734,3.976884365081787,4923,"[705, 40]",2,858,859,859,128,64
'I,786,5,93,318.61290322580646,109.28751790953754,303.6691183734509,1.3517898136089228,'i,7.09,-1.9100948850297528,2,5.763976896422981,5.715938682236922,natural_stories,318.61290322580646,5.763976896422981,natural_stories:5:786,4.5374884605407715,7050,"[705, 40]",2,922,923,923,128,64
'I,800,1,84,315.3333333333333,98.55318829796822,301.12954629975434,1.3550467990784767,'i,7.09,-1.9100948850297528,2,5.753630280383769,5.707540558537145,natural_stories,315.3333333333333,5.753630280383769,natural_stories:1:800,3.52618670463562,3916,"[705, 40]",2,960,961,961,128,64
'I,835,1,85,317.0,266.0005818110358,283.4174360858631,1.480287375571959,'i,7.09,-1.9100948850297528,2,5.75890177387728,5.646920850014204,natural_stories,317.0,5.75890177387728,natural_stories:1:835,7.617100238800049,3951,"[705, 40]",2,1005,1006,1006,128,64
'I,859,4,87,316.60919540229884,118.6083408496744,298.2821610831733,1.407795378521174,'i,7.09,-1.9100948850297528,2,5.757668191252233,5.698039887798783,natural_stories,316.60919540229884,5.757668191252233,natural_stories:4:859,8.128130912780762,5048,"[705, 40]",2,1013,1014,1014,128,64
'I,932,4,88,307.2613636363636,110.88530828527928,290.0799169208711,1.401855795682456,'i,7.09,-1.9100948850297528,2,5.727698732746313,5.670156460605752,natural_stories,307.2613636363636,5.727698732746313,natural_stories:4:932,4.1738386154174805,5121,"[705, 40]",2,1100,1101,1101,128,64
'I,1051,6,80,356.4125,189.5806627530176,324.17773723476677,1.5123275031010714,'i,7.09,-1.9100948850297528,2,5.876088767933353,5.781291937094116,natural_stories,356.4125,5.876088767933353,natural_stories:6:1051,4.682206630706787,2088,"[705, 40]",2,1294,1295,1295,128,64
'I,1066,4,88,321.78409090909093,101.83121587018802,306.5131686557213,1.3686743869991762,'i,7.09,-1.9100948850297528,2,5.773880795514848,5.725260719072306,natural_stories,321.78409090909093,5.773880795514848,natural_stories:4:1066,1.8660883903503418,5255,"[705, 40]",2,1252,1253,1253,128,64
'I'm,141,7,76,385.5394736842105,137.53432936683828,363.9268763356059,1.4036983640966194,'i'm,6.15,-2.850780856543594,4,5.954643583829256,5.896952958267909,natural_stories,385.5394736842105,5.954643583829256,natural_stories:7:141,8.11965274810791,8458,"[705, 40, 1101]",3,160,162,162,128,64
'I'm,772,5,94,322.531914893617,153.50154649689662,302.3523663795058,1.388122542894792,'i'm,6.15,-2.850780856543594,4,5.776202092249959,5.711593113311732,natural_stories,322.531914893617,5.776202092249959,natural_stories:5:772,10.284202575683594,7036,"[705, 40, 1101]",3,901,903,903,128,64
'I'm,1005,6,79,318.253164556962,122.07358734401429,299.70998572236107,1.401406596934906,'i'm,6.15,-2.850780856543594,4,5.762847181007755,5.702815292827814,natural_stories,318.253164556962,5.762847181007755,natural_stories:6:1005,8.114425659179688,2042,"[705, 40, 1101]",3,1233,1235,1235,128,64
'I've,841,6,80,322.8125,136.06216875319453,300.23788415524314,1.4494686257359108,'i've,5.72,-3.279840613871293,5,5.7770716593139575,5.70457510762382,natural_stories,322.8125,5.7770716593139575,natural_stories:6:841,8.92382526397705,1878,"[705, 40, 1053]",3,1024,1026,1026,128,64
'It's,516,2,92,359.9021739130435,237.4584317483988,320.77530046930593,1.5566610361659676,'it's,6.33,-2.669586206356675,5,5.8858322553919535,5.770740879478659,natural_stories,359.9021739130435,5.8858322553919535,natural_stories:2:516,10.606348991394043,5790,"[705, 1026, 338]",3,598,600,600,128,64
'Just,252,6,83,347.8192771084337,129.25670663152124,327.5839883423461,1.4090546823708576,'just,6.43,-2.570247703852816,5,5.851683026227913,5.7917444751505975,natural_stories,347.8192771084337,5.851683026227913,natural_stories:6:252,9.424959182739258,1289,"[705, 5703]",2,300,301,301,128,64
'Mogul'.,83,8,72,574.9166666666666,312.80177541731655,500.2097574390932,1.707302736059852,'mogul',3.07,-5.93177702065355,7,6.354225102758108,6.2150275253286145,natural_stories,574.9166666666666,6.354225102758108,natural_stories:8:83,30.994815826416016,2219,"[705, 44, 519, 377, 4458]",5,101,105,105,128,64
"'No,",248,7,76,338.63157894736844,121.19151148550114,318.78390367430535,1.4216294531839004,'no,6.35,-2.649751962277691,3,5.8249127286325315,5.764513455284746,natural_stories,338.63157894736844,5.8249127286325315,natural_stories:7:248,9.097774505615234,8565,"[705, 2949, 11]",3,292,294,294,128,64
'No'.,592,5,94,405.2127659574468,271.7259400608352,359.6251211752872,1.56517919615915,'no',6.35,-2.649751962277691,4,6.004412277202646,5.885062158820664,natural_stories,405.2127659574468,6.004412277202646,natural_stories:5:592,13.275673866271973,6856,"[705, 2949, 4458]",3,695,697,697,128,64
'Nothing,667,6,82,330.4268292682927,118.0579508763852,313.8151912889854,1.368492436613761,'nothing,5.55,-3.4497715246084493,8,5.800385240735961,5.748804249863261,natural_stories,330.4268292682927,5.800385240735961,natural_stories:6:667,12.975788116455078,1704,"[705, 18465]",2,816,817,817,128,64
'O,817,3,91,355.9230769230769,171.88886789429648,329.55075123090586,1.4524694320717306,'o,5.12,-3.8794257397833034,2,5.874714631445463,5.79773036706192,natural_stories,355.9230769230769,5.874714631445463,natural_stories:3:817,12.344695091247559,8094,"[705, 46]",2,959,960,960,128,64
'On,405,6,83,332.4698795180723,127.48336451488127,314.34486739931765,1.3804241323816424,'on,6.91,-2.089909449064056,3,5.806549268077004,5.75049068703335,natural_stories,332.4698795180723,5.806549268077004,natural_stories:6:405,9.374449729919434,1442,"[705, 2202]",2,493,494,494,128,64
'Or,677,6,83,348.43373493975906,148.72524944905953,324.25009895254715,1.4425021214156657,'or,6.54,-2.4596705126934353,3,5.853448068476103,5.781515128370129,natural_stories,348.43373493975906,5.853448068476103,natural_stories:6:677,10.477384567260742,1714,"[705, 5574]",2,829,830,830,128,64
'Scratch!',449,3,90,480.0111111111111,239.34857728465772,428.8016081124515,1.6131268914603272,'scratch!',4.16,-4.838629002640995,10,6.1738092517821705,6.060994360011807,natural_stories,480.0111111111111,6.1738092517821705,natural_stories:3:449,33.91526794433594,7726,"[705, 3351, 36722, 13679]",4,522,525,525,128,64
'She,953,3,91,384.72527472527474,165.89468318679147,354.74377876832415,1.491062540585859,'she,6.26,-2.739928588152592,4,5.952529507431861,5.871395778940146,natural_stories,384.72527472527474,5.952529507431861,natural_stories:3:953,9.773736000061035,8230,"[705, 3347]",2,1112,1113,1113,128,64
'Small,289,6,83,357.48192771084337,127.8344357444123,337.2805109302955,1.405844631024913,'small,5.51,-3.4894548557519016,6,5.879084808998494,5.820914960766799,natural_stories,357.48192771084337,5.879084808998494,natural_stories:6:289,16.604976654052734,1326,"[705, 18712]",2,346,347,347,128,64
'Someone,720,3,91,406.15384615384613,316.03459455772395,353.3278768922346,1.6068684757142844,'someone,5.63,-3.3695720232666786,8,6.00673201923877,5.867396455560936,natural_stories,406.15384615384613,6.00673201923877,natural_stories:3:720,17.46027374267578,7997,"[705, 28211]",2,845,846,846,128,64
'That,201,6,84,371.0,135.2710799108256,349.01790347272697,1.420386995595718,'that,7.01,-1.9913998239802937,5,5.916202062607435,5.855123220235448,natural_stories,371.0,5.916202062607435,natural_stories:6:201,9.02408218383789,1238,"[705, 2504]",2,242,243,243,128,64
'The,676,1,85,352.77647058823527,191.7674916881048,317.8384347784072,1.5406064495362393,'the,7.73,-1.2700257134917023,4,5.8658346285645315,5.761543186935972,natural_stories,352.77647058823527,5.8658346285645315,natural_stories:1:676,11.38438606262207,3792,"[705, 464]",2,798,799,799,128,64
'The,827,1,83,340.9277108433735,168.64212238422772,312.79788064422445,1.4783342024761608,'the,7.73,-1.2700257134917023,4,5.8316704631484475,5.745557233214138,natural_stories,340.9277108433735,5.8316704631484475,natural_stories:1:827,4.481479167938232,3943,"[705, 464]",2,994,995,995,128,64
'The,857,1,83,315.32530120481925,114.84210883555916,297.0447461520176,1.408475077533355,'the,7.73,-1.2700257134917023,4,5.753604808193032,5.693882787899058,natural_stories,315.32530120481925,5.753604808193032,natural_stories:1:857,5.51948356628418,3973,"[705, 464]",2,1031,1032,1032,128,64
'The,868,1,85,311.45882352941175,139.0383257321842,289.20976678351786,1.4503614227303134,'the,7.73,-1.2700257134917023,4,5.7412671417834,5.667152261441598,natural_stories,311.45882352941175,5.7412671417834,natural_stories:1:868,4.525057315826416,3984,"[705, 464]",2,1045,1046,1046,128,64
'The,930,8,71,356.14084507042253,232.0163353716192,318.27303361179,1.5436189416562949,'the,7.73,-1.2700257134917023,4,5.875326284830527,5.762909610660742,natural_stories,356.14084507042253,5.875326284830527,natural_stories:8:930,4.052519798278809,3066,"[705, 464]",2,1142,1143,1143,128,64
'Then,588,4,88,360.7613636363636,156.26524711397084,332.1984332602896,1.499040695059008,'then,6.07,-2.9318141011346532,5,5.888216697189365,5.805732480913677,natural_stories,360.7613636363636,5.888216697189365,natural_stories:4:588,7.1672043800354,4777,"[705, 6423]",2,689,690,690,128,64
'Then,708,1,85,338.8235294117647,171.31231410376031,313.3349319515745,1.4444471549907056,'then,6.07,-2.9318141011346532,5,5.825479409633721,5.747272688556035,natural_stories,338.8235294117647,5.825479409633721,natural_stories:1:708,10.556341171264648,3824,"[705, 6423]",2,841,842,842,128,64
'Then,878,1,85,318.2823529411765,142.21350580199126,296.9163366888822,1.4205056423437692,'then,6.07,-2.9318141011346532,5,5.762938891158822,5.693450404469081,natural_stories,318.2823529411765,5.762938891158822,natural_stories:1:878,7.005990982055664,3994,"[705, 6423]",2,1059,1060,1060,128,64
'This,792,6,82,314.1341463414634,133.82988669471052,294.52531474957084,1.4148508401495044,'this,6.82,-2.1797985339440955,5,5.749820112324749,5.685364957800047,natural_stories,314.1341463414634,5.749820112324749,natural_stories:6:792,9.552549362182617,1829,"[705, 1212]",2,965,966,966,128,64
'To,495,7,73,334.67123287671234,134.55296920569987,313.24100083183936,1.4245578048093073,'to,7.43,-1.5702477183831145,3,5.813148655544407,5.746972864973531,natural_stories,334.67123287671234,5.813148655544407,natural_stories:7:495,12.03233528137207,8812,"[705, 2514]",2,576,577,577,128,64
'tulip,427,9,78,365.93589743589746,140.6311690473549,340.90732795000065,1.4604527955246238,'tulip,3.18,-5.82099429243518,6,5.902458174444165,5.83161067480605,natural_stories,365.93589743589746,5.902458174444165,natural_stories:9:427,12.52757740020752,426,"[705, 83, 377, 541]",4,561,564,564,128,64
'tulip,1018,9,75,340.14666666666665,113.85465999950816,322.0510566617332,1.396117058355262,'tulip,3.18,-5.82099429243518,6,5.8293768971448365,5.774710094036215,natural_stories,340.14666666666665,5.8293768971448365,natural_stories:9:1018,6.186628341674805,1017,"[705, 83, 377, 541]",4,1279,1282,1282,128,64
'Tulip,290,9,76,406.44736842105266,183.2066516068193,372.3081648520704,1.5190896107603278,'tulip,3.18,-5.82099429243518,6,6.007454445626296,5.919721911479103,natural_stories,406.44736842105266,6.007454445626296,natural_stories:9:290,12.049267768859863,289,"[705, 51, 377, 541]",4,379,382,382,128,64
'Was,115,7,75,385.94666666666666,184.62268998597563,350.85928424999264,1.5370676370453251,'was,6.82,-2.1797985339440955,4,5.95569919066124,5.860385243511478,natural_stories,385.94666666666666,5.95569919066124,natural_stories:7:115,20.30819320678711,8432,"[705, 16973]",2,126,127,127,128,64
'What,364,4,87,325.37931034482756,93.03590721907852,312.1145125538163,1.341971701256789,'what,6.38,-2.619788740192791,5,5.784991610541091,5.743370147887474,natural_stories,325.37931034482756,5.784991610541091,natural_stories:4:364,7.438754081726074,4553,"[705, 2061]",2,420,421,421,128,64
'What,523,1,85,327.25882352941176,106.75652683751456,311.1656293592092,1.3751522758395185,'what,6.38,-2.619788740192791,5,5.790751367083244,5.740325340700856,natural_stories,327.25882352941176,5.790751367083244,natural_stories:1:523,6.425704002380371,3639,"[705, 2061]",2,619,620,620,128,64
'What,764,1,84,335.64285714285717,128.34475811780044,317.06763390434855,1.384561282246741,'what,6.38,-2.619788740192791,5,5.816047669487557,5.759115107285228,natural_stories,335.64285714285717,5.816047669487557,natural_stories:1:764,4.172418594360352,3880,"[705, 2061]",2,909,910,910,128,64
'What's,662,6,82,339.8536585365854,116.4349149993004,322.67340727108365,1.3738821897955242,'what's,5.2,-3.801342638175739,7,5.828515108885757,5.776640688693213,natural_stories,339.8536585365854,5.828515108885757,natural_stories:6:662,10.881031036376953,1699,"[705, 2061, 338]",3,808,810,810,128,64
'Where's,392,6,82,420.0853658536585,197.6027440967252,384.3477032074741,1.5068495013178569,'where's,4.09,-4.910091357725508,8,6.040457942657039,5.951547619993428,natural_stories,420.0853658536585,6.040457942657039,natural_stories:6:392,14.487997055053711,1429,"[705, 8496, 338]",3,474,476,476,128,64
'Why,666,5,94,352.63829787234044,145.4878224267961,329.74651800855617,1.4280299955736908,'why,5.93,-3.070070388881986,4,5.8654428796989295,5.798324232052836,natural_stories,352.63829787234044,5.8654428796989295,natural_stories:5:666,11.935647010803223,6930,"[705, 5195]",2,778,779,779,128,64
'With,684,1,84,335.35714285714283,234.02361341350124,304.4631068879017,1.4629253325067042,'with,6.85,-2.149966736176128,5,5.815196062027105,5.718549920163886,natural_stories,335.35714285714283,5.815196062027105,natural_stories:1:684,8.19933032989502,3800,"[705, 3152]",2,809,810,810,128,64
'witnesses',529,8,72,398.2916666666667,169.86792197319934,365.7702548868059,1.5186012379930367,'witnesses',4.29,-4.709963161492003,11,5.987184567715817,5.902005417414871,natural_stories,398.2916666666667,5.987184567715817,natural_stories:8:529,16.08968734741211,2665,"[705, 86, 3659, 274, 6]",5,645,649,649,128,64
"'Yes,",1080,4,90,359.3777777777778,118.95637740509468,340.1428245201922,1.401488744592082,'yes,5.5,-3.5003127799466554,4,5.884374140990341,5.829365601522828,natural_stories,359.3777777777778,5.884374140990341,natural_stories:4:1080,9.1852388381958,5269,"[705, 5297, 11]",3,1270,1272,1272,128,64
"'Yes,'",164,7,75,386.72,170.47648327951674,356.6322149210294,1.4831035221482511,"'yes,'",5.5,-3.5003127799466554,6,5.957700916955173,5.8767050404430154,natural_stories,386.72,5.957700916955173,natural_stories:7:164,8.479986190795898,8481,"[705, 5297, 4032]",3,193,195,195,128,64
'You,548,4,87,367.735632183908,129.8577450448844,346.87348345890337,1.4132740813665148,'you,6.98,-2.0199966238686677,4,5.907364289198009,5.848960112480773,natural_stories,367.735632183908,5.907364289198009,natural_stories:4:548,3.722140312194824,4737,"[705, 1639]",2,643,644,644,128,64
'You,868,5,94,328.72340425531917,97.6633898957068,316.26940225329224,1.3148966827931712,'you,6.98,-2.0199966238686677,4,5.795216680615833,5.756594389158387,natural_stories,328.72340425531917,5.795216680615833,natural_stories:5:868,2.501997232437134,7132,"[705, 1639]",2,1021,1022,1022,128,64
"'You,",535,4,87,336.98850574712645,124.64661622408106,316.6015945098043,1.4221342532611831,'you,6.98,-2.0199966238686677,4,5.8200488221953925,5.757644183788633,natural_stories,336.98850574712645,5.8200488221953925,natural_stories:4:535,15.9595308303833,4724,"[705, 1639, 11]",3,623,625,625,128,64
"'You,",746,4,89,345.9325842696629,129.5530601856742,326.9279411458243,1.39039991595941,'you,6.98,-2.0199966238686677,4,5.846243912922068,5.7897397831452295,natural_stories,345.9325842696629,5.846243912922068,natural_stories:4:746,13.304763793945312,4935,"[705, 1639, 11]",3,874,876,876,128,64
"'You,",968,6,82,292.0731707317073,99.69778784373028,278.8987559580975,1.3422100367355283,'you,6.98,-2.0199966238686677,4,5.677004355574808,5.630848834093189,natural_stories,292.0731707317073,5.677004355574808,natural_stories:6:968,14.318431854248047,2005,"[705, 1639, 11]",3,1189,1191,1191,128,64
'You've,625,6,83,435.0843373493976,284.6385900520371,375.44884608502207,1.6740342582202332,'you've,5.13,-3.8696659098054966,7,6.075539891260719,5.928122233122664,natural_stories,435.0843373493976,6.075539891260719,natural_stories:6:625,11.15287971496582,1662,"[705, 1639, 1053]",3,757,759,759,128,64
(purple,230,9,79,366.46835443037975,139.3716517770104,344.1342418812868,1.419447820257758,purple,4.32,-4.6798516359298885,6,5.903912172251883,5.841031819277339,natural_stories,366.46835443037975,5.903912172251883,natural_stories:9:230,6.389609336853027,229,"[357, 14225, 1154]",3,295,297,297,128,64
(red,223,9,79,396.0759493670886,110.1800126310667,381.15565782910227,1.3256747036845045,red,5.32,-3.6798535060925928,3,5.981605984195906,5.943207842425126,natural_stories,396.0759493670886,5.981605984195906,natural_stories:9:223,11.572547912597656,222,"[357, 445]",2,283,284,284,128,64
"(red,",243,9,79,409.506329113924,177.09398297396382,379.7623106438577,1.4699735123083024,red,5.32,-3.6798535060925928,3,6.014952358885344,5.939545558709115,natural_stories,409.506329113924,6.014952358885344,natural_stories:9:243,8.20770263671875,242,"[357, 445, 11]",3,316,318,318,128,64
a,3,4,92,336.7282608695652,188.29449130625903,302.1834747671901,1.5492189257237226,a,7.36,-1.6401645157636295,1,5.8192762575112384,5.711034365243497,natural_stories,336.7282608695652,5.8192762575112384,natural_stories:4:3,1.3530203104019165,4192,[257],1,2,2,2,128,64
a,3,6,83,371.7590361445783,273.66200402657324,324.7739917074498,1.6070488729093673,a,7.36,-1.6401645157636295,1,5.918245892091466,5.783129530289031,natural_stories,371.7590361445783,5.918245892091466,natural_stories:6:3,2.6629867553710938,1040,[257],1,2,2,2,128,64
a,3,10,77,447.6623376623377,344.8473960887631,372.3645909803014,1.749052619212583,a,7.36,-1.6401645157636295,1,6.1040392376572274,5.9198734575854886,natural_stories,447.6623376623377,6.1040392376572274,natural_stories:10:3,2.632368564605713,9319,[257],1,6,6,6,128,64
a,4,9,83,343.3614457831325,286.4414799261351,302.9802341507736,1.5368422105246604,a,7.36,-1.6401645157636295,1,5.838783670125257,5.713667569555721,natural_stories,343.3614457831325,5.838783670125257,natural_stories:9:4,4.496790885925293,3,[257],1,6,6,6,128,64
